complaint_text,category,department,priority,resolution_time_days
saket delhi severe doctor day plese fix urgently refh,Healthcare,Health Department,High,1
bopal ahmedabad road damage moderate regular last day refm,Roads & Infrastructure,PWD,Medium,5
aliganj lucknow waste moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,3
pothole working shivajinagar pune day situation high impact refh,Roads & Infrastructure,PWD,High,1
perungudi chennai severe supply problem day please fix urgently refh,Water Supply,Municipal Corporation,High,2
possible improve doctor shivajinagar pune issue low priority refl,Healthcare,Health Department,Low,10
routine complaint patia bhubaneswar outage urgent need attention refl,Electricity,Electricity Board,Low,11
aliganj lucknow severe power cut day please fix urgently refh,Electricity,Electricity Board,High,3
average level water seen kondapur hyderabad issue pending day refm,Water Supply,Municipal Corporation,Medium,7
dwarka delhi doctor moderate regular last day refm,Healthcare,Health Department,Medium,5
karol bagh delhi blackout moderate regular last day refm,Electricity,Electricity Board,Medium,7
verification completed working nagar chennai day situation high impact refh,Government Services,Revenue Department,High,1
adyar chennai unhygienic sometimes response slow dely refm,Sanitation & Garbage,Municipal Corporation,Medium,3
routine complaint noida sector late bus urgent need attention refl,Public Transport,Transport Department,Low,15
please improve hospital issue howrah maidan minor suggestion refl,Healthcare,Health Department,Low,13
average level litter seen howrah maidan issue pending day refm,Sanitation & Garbage,Municipal Corporation,Medium,7
dump working kondapur hyderabad day situation high impact refh,Sanitation & Garbage,Municipal Corporation,High,3
since day kakadeo kanpur bus servce completely refh,Public Transport,Transport Department,High,3
dwarka delhi facing blackout continuously day urgent action needed refh,Electricity,Electricity Board,High,3
small inconvenience thane west littering kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,9
kakadeo kanpur application pending sometimes response slow delay refm,Government Services,Revenue Department,Medium,4
small inconvenience patia bhubaneswar litter kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,14
possible improve supply problem aliganj lucknow issue low priority refl,Water Supply,Municipal Corporation,Low,12
routine complaint patia bhubaneswar waste urgnt need attention refl,Sanitation & Garbage,Municipal Corporation,Low,13
routine complaint ashok vihar delhi road damage urgent need attention refl,Roads & Infrastructure,PWD,Low,15
nerul navi mumbai facing water continuously day urgent action needed refh,Water Supply,Municipal Corporation,High,3
anna nagar chennai road damage sometimes response slow delay refm,Roads & Infrastructure,PWD,Medium,7
possible improve dump perungudi chennai issue low priority refl,Sanitation & Garbage,Municipal Corporation,Low,8
electricity working mayur vihar delhi day situation high impact refh,Electricity,Electricity Board,High,3
routine complaint behala kolkata outage urgnt need attention refl,Electricity,Electricity Board,Low,14
transport style delay service gachibowli hyderabad due littering refm,Sanitation & Garbage,Municipal Corporation,Medium,4
patia bhubaneswar transport issue moderate regular last day refm,Public Transport,Transport Department,Medium,7
average level hospital issue seen nerul navi mumbai issue pending day refm,Healthcare,Health Department,Medium,5
adyar chennai bad road sometimes response slow delay refm,Roads & Infrastructure,PWD,Medium,3
average level supply problem seen miyapur hyderabad issue pending day refm,Water Supply,Municipal Corporation,Medium,6
howrah maidan bad road sometimes response slow delay refm,Roads & Infrastructure,PWD,Medium,6
sector gurugram facing portal status stuck continuously day urgnt action needed refh,Government Services,Revenue Department,High,1
bus delay working shivajinagar pune day situation high impact refh,Public Transport,Transport Department,High,2
mayur vihar delhi record mismatch sometimes response slow delay refm,Government Services,Revenue Department,Medium,3
average level litter seen mayur vihar delhi issue pending day refm,Sanitation & Garbage,Municipal Corporation,Medium,6
routine complaint kothrud pune token generated urgent need attention refl,Government Services,Revenue Department,Low,9
hinjewadi pune medical problem moderate regular last day refm,Healthcare,Health Department,Medium,5
transport style delay service perungudi chennai due hospital issue refm,Healthcare,Health Department,Medium,5
average level water shortage seen saket delhi issue pending day refm,Water Supply,Municipal Corporation,Medium,5
small inconvenience viman nagar pune voltage issue kindly review refl,Electricity,Electricity Board,Low,9
since day kondapur hyderabad doctor service completely refh,Healthcare,Health Department,High,1
kothrud pune severe appointment slot delay day please fix urgently refh,Government Services,Revenue Department,High,1
possible improve bad road hinjewadi pune issue low priority refl,Roads & Infrastructure,PWD,Low,11
howrah maidan severe trash day please fix urgently refh,Sanitation & Garbage,Municipal Corporation,High,2
dwarka delhi certificate updated sometimes response slow delay refm,Government Services,Revenue Department,Medium,5
small inconvenience bopal ahmedabad hospital issue kindly review refl,Healthcare,Health Department,Low,9
average level medical problem seen nagar chennai issue pending day refm,Healthcare,Health Department,Medium,4
transport style delay service indiranagar bengaluru due application pending refm,Government Services,Revenue Department,Medium,3
appointment slot delay working viman nagar pune day situation high impact refh,Government Services,Revenue Department,High,1
small inconvenience kothrud pune outage kindly review refl,Electricity,Electricity Board,Low,8
laxmi nagar delhi medical problem moderate regular last day refm,Healthcare,Health Department,Medium,4
gachibowli hyderabad voltage issue moderate regular last day refm,Electricity,Electricity Board,Medium,7
mayur vihar delhi portal status stuck sometimes response slow delay refm,Government Services,Revenue Department,Medium,4
please improve portal status stuck indiranagar bengaluru minor suggestion refl,Government Services,Revenue Department,Low,9
possible improve supply problem gomti nagar lucknow issue low priority refl,Water Supply,Municipal Corporation,Low,14
shivajinagar pune dumping sometimes response slow delay refm,Sanitation & Garbage,Municipal Corporation,Medium,4
adyar chennai severe water shortage day please fix urgently refh,Water Supply,Municipal Corporation,High,3
average level bus seen adyar chennai issue pending day refm,Public Transport,Transport Department,Medium,7
small inconvenience sector gurugram dirty kindly review refl,Sanitation & Garbage,Municipal Corporation,Low,7
rajendra nagar patna facing transport issue continuously day urgent action needed refh,Public Transport,Transport Department,High,1
salt lake kolkata severe dump day please fix urgently refh,Sanitation & Garbage,Municipal Corporation,High,1
karol bagh delhi litter moderate regular last day refm,Sanitation & Garbage,Municipal Corporation,Medium,3
since day civil line prayagraj doctor service completely refh,Healthcare,Health Department,High,1
please improve outage perungudi chennai minor suggestion refl,Electricity,Electricity Board,Low,12
transport style delay service howrah maidan due hospital issue refm,Healthcare,Health Department,Medium,5
since day viman nagar pune dump service completely refh,Sanitation & Garbage,Municipal Corporation,High,1
possible improve hospital isssue dwarka delhi issue low priority refl,Healthcare,Health Department,Low,15
aliganj lucknow blackout sometimes response slow delay refm,Electricity,Electricity Board,Medium,4
since day ameerpet hyderabad power cut service completely refh,Electricity,Electricity Board,High,2
please improve transport issue kondapur hyderabad minor suggestion refl,Public Transport,Transport Department,Low,8
transport style delay service sector gurugram due water refm,Water Supply,Municipal Corporation,Medium,6
kothrud pune facing voltage issue continuously day urgent action needed refh,Electricity,Electricity Board,High,3
please improve littering behala kolkata minor suggestion refl,Sanitation & Garbage,Municipal Corporation,Low,9
possible improve transport issue kothrud pune issue low priority refl,Public Transport,Transport Department,Low,8
routine complaint behala kolkata litter urgnt need attention refl,Sanitation & Garbage,Municipal Corporation,Low,12
please improve appointment slot delay nagar chennai minor suggestion refl,Government Services,Revenue Department,Low,11
thane west medical problem sometimes response slow delay refm,Healthcare,Health Department,Medium,6
nagar chennai road damage moderate regular last day refm,Roads & Infrastructure,PWD,Medium,3
please improve water kothrud pune minor suggestion refl,Water Supply,Municipal Corporation,Low,7
small inconvenience karol bagh delhi blackout kindly review refl,Electricity,Electricity Board,Low,10
ameerpet hyderabad severe water day please fix urgently refh,Water Supply,Municipal Corporation,High,1
since day aliganj lucknow late bus service completely refh,Public Transport,Transport Department,High,1
