complaint_text,category,department,priority,resolution_time_days
"In Saket Delhi we have severe no doctor for 6 days, plese fix urgently. RefH251",Healthcare,Health Department,High,1
"In Bopal Ahmedabad, road damage is moderate but regular from last 2 days. RefM494",Roads & Infrastructure,PWD,Medium,5
"In Aliganj Lucknow, waste is moderate but regular from last 1 days. RefM50",Sanitation & Garbage,Municipal Corporation,Medium,3
"potholes not working in Shivajinagar Pune from 8 days, situation is very high impact. RefH18",Roads & Infrastructure,PWD,High,1
"In Perungudi Chennai we have severe supply problem for 3 days, please fix urgently. RefH129",Water Supply,Municipal Corporation,High,2
"When possible, improve no doctor at Shivajinagar Pune; issue is low priority now. RefL363",Healthcare,Health Department,Low,10
"Routine complaint from Patia Bhubaneswar on outage, not urgent but needs attention. RefL37",Electricity,Electricity Board,Low,11
"In Aliganj Lucknow we have severe power cut for 7 days, please fix urgently. RefH163",Electricity,Electricity Board,High,3
"Average level no water seen in Kondapur Hyderabad, issue pending from 1 days. RefM220",Water Supply,Municipal Corporation,Medium,7
"In Dwarka Delhi, no doctor is moderate but regular from last 1 days. RefM293",Healthcare,Health Department,Medium,5
"In Karol Bagh Delhi, blackout is moderate but regular from last 2 days. RefM478",Electricity,Electricity Board,Medium,7
"verification not completed not working in T Nagar Chennai from 5 days, situation is very high impact. RefH189",Government Services,Revenue Department,High,1
"Adyar Chennai has unhygienic sometimes, response is slow and there is dely. RefM1",Sanitation & Garbage,Municipal Corporation,Medium,3
"Routine complaint from Noida Sector 62 on late buses, not urgent but needs attention. RefL124",Public Transport,Transport Department,Low,15
"Please improve hospital issue in Howrah Maidan, this is a minor suggestion. RefL146",Healthcare,Health Department,Low,13
"Average level litter seen in Howrah Maidan, issue pending from 2 days. RefM295",Sanitation & Garbage,Municipal Corporation,Medium,7
"dump not working in Kondapur Hyderabad from 9 days, situation is very high impact. RefH169",Sanitation & Garbage,Municipal Corporation,High,3
"Since 4 days in Kakadeo Kanpur, no buses and servce is completely down. RefH390",Public Transport,Transport Department,High,3
"Dwarka Delhi facing blackout continuously for 8 days, urgent action needed. RefH394",Electricity,Electricity Board,High,3
"Small inconvenience in Thane West because of littering, kindly review. RefL386",Sanitation & Garbage,Municipal Corporation,Low,9
"Kakadeo Kanpur has application pending sometimes, response is slow and there is delay. RefM483",Government Services,Revenue Department,Medium,4
"Small inconvenience in Patia Bhubaneswar because of litter, kindly review. RefL29",Sanitation & Garbage,Municipal Corporation,Low,14
"When possible, improve supply problem at Aliganj Lucknow; issue is low priority now. RefL122",Water Supply,Municipal Corporation,Low,12
"Routine complaint from Patia Bhubaneswar on waste, not urgnt but needs attention. RefL260",Sanitation & Garbage,Municipal Corporation,Low,13
"Routine complaint from Ashok Vihar Delhi on road damage, not urgent but needs attention. RefL193",Roads & Infrastructure,PWD,Low,15
"Nerul Navi Mumbai facing no water continuously for 9 days, urgent action needed. RefH416",Water Supply,Municipal Corporation,High,3
"Anna Nagar Chennai has road damage sometimes, response is slow and there is delay. RefM333",Roads & Infrastructure,PWD,Medium,7
"When possible, improve dump at Perungudi Chennai; issue is low priority now. RefL309",Sanitation & Garbage,Municipal Corporation,Low,8
"no electricity not working in Mayur Vihar Delhi from 7 days, situation is very high impact. RefH135",Electricity,Electricity Board,High,3
"Routine complaint from Behala Kolkata on outage, not urgnt but needs attention. RefL149",Electricity,Electricity Board,Low,14
There is transport style delay in service at Gachibowli Hyderabad due to littering. RefM344,Sanitation & Garbage,Municipal Corporation,Medium,4
"In Patia Bhubaneswar, transport issue is moderate but regular from last 1 days. RefM313",Public Transport,Transport Department,Medium,7
"Average level hospital issue seen in Nerul Navi Mumbai, issue pending from 1 days. RefM20",Healthcare,Health Department,Medium,5
"Adyar Chennai has bad roads sometimes, response is slow and there is delay. RefM445",Roads & Infrastructure,PWD,Medium,3
"Average level supply problem seen in Miyapur Hyderabad, issue pending from 1 days. RefM178",Water Supply,Municipal Corporation,Medium,6
"Howrah Maidan has bad roads sometimes, response is slow and there is delay. RefM410",Roads & Infrastructure,PWD,Medium,6
"Sector 21 Gurugram facing portal status stuck continuously for 6 days, urgnt action needed. RefH238",Government Services,Revenue Department,High,1
"bus delay not working in Shivajinagar Pune from 5 days, situation is very high impact. RefH397",Public Transport,Transport Department,High,2
"Mayur Vihar Delhi has record mismatch sometimes, response is slow and there is delay. RefM112",Government Services,Revenue Department,Medium,3
"Average level litter seen in Mayur Vihar Delhi, issue pending from 1 days. RefM498",Sanitation & Garbage,Municipal Corporation,Medium,6
"Routine complaint from Kothrud Pune on token not generated, not urgent but needs attention. RefL119",Government Services,Revenue Department,Low,9
"In Hinjewadi Pune, medical problem is moderate but regular from last 2 days. RefM174",Healthcare,Health Department,Medium,5
There is transport style delay in service at Perungudi Chennai due to hospital issue. RefM440,Healthcare,Health Department,Medium,5
"Average level water shortage seen in Saket Delhi, issue pending from 2 days. RefM241",Water Supply,Municipal Corporation,Medium,5
"Small inconvenience in Viman Nagar Pune because of voltage issue, kindly review. RefL268",Electricity,Electricity Board,Low,9
"Since 7 days in Kondapur Hyderabad, no doctor and service is completely down. RefH398",Healthcare,Health Department,High,1
"In Kothrud Pune we have severe appointment slot delay for 8 days, please fix urgently. RefH497",Government Services,Revenue Department,High,1
"When possible, improve bad roads at Hinjewadi Pune; issue is low priority now. RefL354",Roads & Infrastructure,PWD,Low,11
"In Howrah Maidan we have severe trash for 4 days, please fix urgently. RefH477",Sanitation & Garbage,Municipal Corporation,High,2
"Dwarka Delhi has certificate not updated sometimes, response is slow and there is delay. RefM84",Government Services,Revenue Department,Medium,5
"Small inconvenience in Bopal Ahmedabad because of hospital issue, kindly review. RefL279",Healthcare,Health Department,Low,9
"Average level medical problem seen in T Nagar Chennai, issue pending from 1 days. RefM391",Healthcare,Health Department,Medium,4
There is transport style delay in service at Indiranagar Bengaluru due to application pending. RefM245,Government Services,Revenue Department,Medium,3
"appointment slot delay not working in Viman Nagar Pune from 5 days, situation is very high impact. RefH105",Government Services,Revenue Department,High,1
"Small inconvenience in Kothrud Pune because of outage, kindly review. RefL219",Electricity,Electricity Board,Low,8
"In Laxmi Nagar Delhi, medical problem is moderate but regular from last 2 days. RefM223",Healthcare,Health Department,Medium,4
"In Gachibowli Hyderabad, voltage issue is moderate but regular from last 2 days. RefM345",Electricity,Electricity Board,Medium,7
"Mayur Vihar Delhi has portal status stuck sometimes, response is slow and there is delay. RefM14",Government Services,Revenue Department,Medium,4
"Please improve portal status stuck in Indiranagar Bengaluru, this is a minor suggestion. RefL168",Government Services,Revenue Department,Low,9
"When possible, improve supply problem at Gomti Nagar Lucknow; issue is low priority now. RefL395",Water Supply,Municipal Corporation,Low,14
"Shivajinagar Pune has dumping sometimes, response is slow and there is delay. RefM428",Sanitation & Garbage,Municipal Corporation,Medium,4
"In Adyar Chennai we have severe water shortage for 9 days, please fix urgently. RefH45",Water Supply,Municipal Corporation,High,3
"Average level no buses seen in Adyar Chennai, issue pending from 2 days. RefM299",Public Transport,Transport Department,Medium,7
"Small inconvenience in Sector 21 Gurugram because of dirty, kindly review. RefL463",Sanitation & Garbage,Municipal Corporation,Low,7
"Rajendra Nagar Patna facing transport issue continuously for 6 days, urgent action needed. RefH26",Public Transport,Transport Department,High,1
"In Salt Lake Kolkata we have severe dump for 8 days, please fix urgently. RefH302",Sanitation & Garbage,Municipal Corporation,High,1
"In Karol Bagh Delhi, litter is moderate but regular from last 2 days. RefM456",Sanitation & Garbage,Municipal Corporation,Medium,3
"Since 5 days in Civil Lines Prayagraj, no doctor and service is completely down. RefH468",Healthcare,Health Department,High,1
"Please improve outage in Perungudi Chennai, this is a minor suggestion. RefL198",Electricity,Electricity Board,Low,12
There is transport style delay in service at Howrah Maidan due to hospital issue. RefM188,Healthcare,Health Department,Medium,5
